vignette_id,true_label,vignette_text
VIG-001,malaria,"The patient is a 24-year-old male who presents with a fever that seems to spike every 48 hours. He is experiencing severe chills and rigors, followed by heavy sweating. He also twisted his ankle last week, but the main issue is the cyclical fever."
VIG-002,malaria,"A mother brought in her 7-year-old child complaining of a headache and general weakness. The child has distinct jaundice with yellowing of the eyes. The mother notes the child gets very cold with severe chills before sweating profusely."
VIG-003,malaria,"Patient reports a high temperature that comes and goes cyclically. They mentioned eating some bad street food yesterday, but the heavy sweating and severe chills and rigors point away from simple food poisoning."
VIG-004,malaria,"A 45-year-old farmer comes to the clinic with jaundice and yellow eyes. He has a headache and mentions a cyclical fever that hits him hard every 48h. He is also complaining about the clinic's waiting times."
VIG-005,malaria,"Patient is shivering violently with chills and rigors despite the warm weather. This is followed by episodes of heavy sweating. A high temperature is present, and they look slightly jaundiced."
VIG-006,malaria,"Complaints of a persistent headache and severe chills. The patient's wife notes that the fever is not constant but cyclical, appearing roughly every 48 hours. The patient is also sweating heavily through his clothes."
VIG-007,malaria,"The young man has jaundice and yellow eyes. He says he has a headache and a high temperature. He experienced severe chills and rigors in the waiting room."
VIG-008,malaria,"Patient states they have been having heavy sweating at night. They have a cyclical fever every 48h and severe chills. They also have a slight cough, but their lungs sound clear."
VIG-009,malaria,"An elderly woman presents with a high temperature and severe chills and rigors. She is sweating heavily and her family noted jaundice yellow eyes starting yesterday morning."
VIG-010,malaria,"Patient reports cyclical fever 48h patterns. They are exhausted, have a headache, and experience heavy sweating after bouts of extreme cold and severe chills."
VIG-011,typhoid,"A 30-year-old woman presents with a gradually increasing high fever over the last week. She is in visible distress from severe abdominal pain and reports severe constipation. I noticed a faint rose spots rash on her trunk."
VIG-012,typhoid,"Patient complains of extreme tiredness and a persistent fever that won't break with paracetamol. He has no diarrhoea, but rather severe constipation and abdominal pain."
VIG-013,typhoid,"The teenager has a gradually increasing high fever and feels completely exhausted with extreme tiredness. She has a headache and a distinct rose spots rash on her trunk. She also scraped her knee falling off a bicycle."
VIG-014,typhoid,"Patient reports abdominal pain and constipation for the last four days. They have a persistent fever and a newly developed rose spots rash on their trunk."
VIG-015,typhoid,"A 50-year-old man presents with extreme tiredness and a gradually increasing high fever. He is complaining of abdominal pain. He says he has not had a bowel movement in days, indicating constipation."
VIG-016,typhoid,"Patient has a persistent fever and extreme tiredness. Examination reveals a rose spots rash on the trunk. The patient also has mild abdominal pain and constipation."
VIG-017,typhoid,"Complaints of a gradually increasing high fever that is worse in the evenings. The patient has a rose spots rash on the trunk and severe abdominal pain. They also complain of a dry mouth."
VIG-018,typhoid,"The patient is experiencing extreme tiredness and constipation. They have a persistent fever and abdominal pain that is stopping them from sleeping."
VIG-019,typhoid,"A young boy is brought in with a gradually increasing high fever. He has a rose spots rash on his trunk and is clutching his stomach due to abdominal pain. He is also experiencing constipation."
VIG-020,typhoid,"Patient describes a persistent fever and extreme tiredness. They have abdominal pain and constipation. I also noted a faint rose spots rash on their trunk during the physical exam."
VIG-021,dengue,"Patient rushed in with a sudden high fever of 40C. She is crying from severe bone and joint pain, describing it as feeling like her bones are breaking. She also has intense retro-orbital pain."
VIG-022,dengue,"A 22-year-old male presents with a sudden high fever 40C. He complains of a headache, but specifically notes excruciating retro-orbital pain. He also has severe bone and joint pain."
VIG-023,dengue,"Patient is experiencing severe bone and joint pain and a sudden high fever 40C. They have retro-orbital pain. They mentioned they have a mild sore throat, but the joint pain is their primary concern."
VIG-024,dengue,"Complaints of retro-orbital pain and severe bone and joint pain. The patient has a sudden high fever of 40C and looks incredibly flushed and distressed."
VIG-025,dengue,"The patient has a sudden high fever 40C and is unable to walk comfortably due to severe bone and joint pain. They also report retro-orbital pain when looking side to side."
VIG-026,dengue,"A teenage girl presents with severe bone and joint pain and retro-orbital pain. Her mother says she developed a sudden high fever 40C just a few hours ago."
VIG-027,dengue,"Patient reports retro-orbital pain and a sudden high fever 40C. They are experiencing severe bone and joint pain. They also have a minor rash on their arm from an allergic reaction to a plant."
VIG-028,dengue,"The man has a sudden high fever 40C and severe bone and joint pain. He keeps rubbing his eyes due to the severe retro-orbital pain."
VIG-029,dengue,"Patient is presenting with retro-orbital pain, severe bone and joint pain, and a sudden high fever 40C. They are highly agitated and in significant discomfort."
VIG-030,dengue,"Complaints of a sudden high fever 40C. The patient has severe bone and joint pain and retro-orbital pain. They also complain about the noise in the clinic."
VIG-031,lassa_fever,"The patient has had a slight fever for days which has progressively worsened. Today, they have massive facial and neck swelling. They are also experiencing sudden deafness or hearing loss in the left ear."
VIG-032,lassa_fever,"A 35-year-old male presents with general weakness and a slight fever. He has difficulty breathing and I observed mucosal bleeding from his eyes and gums."
VIG-033,lassa_fever,"Patient is experiencing chest pain and difficulty breathing. They have a slight fever and noticeable facial and neck swelling. They also report sudden deafness or hearing loss."
VIG-034,lassa_fever,"The woman has general weakness and mucosal bleeding from the eyes and gums. She has a slight fever and facial and neck swelling. She also has a history of mild asthma."
VIG-035,lassa_fever,"Patient reports a slight fever and general weakness. They have sudden deafness or hearing loss and mucosal bleeding from the eyes and gums. They are visibly deteriorating."
VIG-036,lassa_fever,"Complaints of chest pain and difficulty breathing. The patient has a slight fever and facial and neck swelling. They also have general weakness."
VIG-037,lassa_fever,"The patient has mucosal bleeding from the eyes and gums and sudden deafness or hearing loss. They have a slight fever and general weakness. They also complain of lower back pain."
VIG-038,lassa_fever,"A young man presents with facial and neck swelling and a slight fever. He is experiencing chest pain and difficulty breathing. He looks extremely lethargic."
VIG-039,lassa_fever,"Patient is experiencing general weakness and mucosal bleeding from the eyes and gums. They have a slight fever and sudden deafness or hearing loss. They mentioned they have not eaten in two days."
VIG-040,lassa_fever,"The patient has a slight fever, chest pain, and difficulty breathing. They have facial and neck swelling and mucosal bleeding from the eyes and gums."
VIG-041,malaria,"The patient is an 18-year-old student complaining of a fever that seems to hit her every two days. She experiences terrible shivering fits followed by drenching sweats. I also noted some yellowing in her eyes."
VIG-042,malaria,"A man was brought in complaining of a pounding headache. His wife says his fever is cyclical, spiking every 48 hours. He gets incredibly cold with rigors, then sweats through his clothes. He also complained about the uncomfortable clinic chairs."
VIG-043,malaria,"Patient has distinct jaundice in the eyes. They report extreme temperature fluctuations, specifically shivering violently before sweating heavily. The fever pattern is roughly every 48h."
VIG-044,malaria,"Complaints of a severe headache and cyclical fever that occurs every other day. The patient has severe chills and heavy sweating. They also have a minor paper cut on their finger that is healing normally."
VIG-045,malaria,"The patient's eyes are visibly yellow. They report bouts of intense cold and rigors, followed by a high temperature and profuse sweating. They are very tired and annoyed by the waiting time."
VIG-046,malaria,"A mother reports her son has a fever that comes and goes every 48 hours. He shakes violently with chills and then sweats excessively. His sclera (eyes) appear slightly yellow."
VIG-047,malaria,"Patient presents with a pounding headache and a fever that spikes cyclically every 48 hours. They experience heavy sweating after severe chills. They also mentioned they have a mild toothache."
VIG-048,malaria,"The man has yellow eyes and complains of feeling freezing cold with rigors despite the heat outside. This is followed by a high fever and sweating. He is otherwise fit and healthy."
VIG-049,malaria,"Reports of a headache and a cyclical 48-hour fever. The patient is sweating so heavily they need to change clothes. Severe chills are also present."
VIG-050,malaria,"Patient has jaundice with yellow eyes. They report a high temperature that hits every two days, accompanied by intense shivering and sweating. They also complained about a noisy dog outside the clinic."
VIG-051,malaria,"A 60-year-old woman presents with severe chills and rigors, followed by a high temperature and heavy sweating. The pattern repeats every 48 hours. She also has a headache."
VIG-052,malaria,"Patient complains of a cyclical fever every 48h. They have noticeable yellowing of the eyes and experience heavy sweating after bouts of extreme cold."
VIG-053,malaria,"The teenager has a headache and jaundice. He reports shivering violently before sweating profusely. The fever seems to be on a 48-hour cycle. He also has a scraped elbow from playing football."
VIG-054,malaria,"Patient reports a high temperature, severe chills, and heavy sweating. The fever is cyclical, occurring every 48 hours. They also mention a slight loss of appetite."
VIG-055,malaria,"A man is brought in with yellow eyes and a severe headache. He has a fever that spikes every 48 hours, accompanied by severe chills and rigors, then heavy sweating."
VIG-056,typhoid,"Patient's fever has been gradually increasing over the last 5 days. They complain of terrible stomach cramps and constipation. I noticed a light rash of rose spots on their chest."
VIG-057,typhoid,"A 40-year-old woman is completely exhausted with extreme tiredness. Her fever is persistent and refuses to drop. She has severe abdominal pain and has not passed stool in days."
VIG-058,typhoid,"The young man has a persistent fever and a distinct rose spots rash on his trunk. He is clutching his stomach in pain and reports constipation. He also complains of a stiff neck from sleeping badly."
VIG-059,typhoid,"Patient reports a gradually increasing high fever and extreme tiredness. They are suffering from abdominal pain and constipation. I observed a faint pink rash on their abdomen."
VIG-060,typhoid,"Complaints of a persistent fever that worsens at night. The patient has a rose spots rash on the trunk, severe abdominal pain, and constipation. They are visibly fatigued."
VIG-061,typhoid,"A teenage boy presents with extreme tiredness and a gradually increasing high fever. He has not had a bowel movement in four days and complains of abdominal pain. A rose spots rash is visible."
VIG-062,typhoid,"Patient has a persistent fever and is complaining of extreme tiredness. They have abdominal pain and constipation. They also mentioned they stubbed their toe this morning."
VIG-063,typhoid,"The woman has a rose spots rash on her trunk and a gradually increasing high fever. She is experiencing severe abdominal pain and constipation. She is very weak."
VIG-064,typhoid,"Patient reports extreme tiredness, a persistent fever, and severe constipation. They have abdominal pain. Examination reveals a faint rose spots rash on the chest."
VIG-065,typhoid,"A 55-year-old man presents with a gradually increasing high fever and extreme tiredness. He has abdominal pain, constipation, and a rose spots rash on his trunk. He also complains about the cold air conditioning."
VIG-066,typhoid,"Patient has a persistent fever and a rose spots rash on the trunk. They are complaining of abdominal pain and constipation. They feel extremely tired and lethargic."
VIG-067,typhoid,"Complaints of extreme tiredness and a gradually increasing high fever. The patient has constipation and abdominal pain. A rose spots rash is also present on the abdomen."
VIG-068,typhoid,"The patient is experiencing a persistent fever and extreme tiredness. They have a rose spots rash on their trunk, abdominal pain, and constipation. They also have a mild dry cough."
VIG-069,typhoid,"Patient reports a gradually increasing high fever, abdominal pain, and constipation. They are extremely tired and have a rose spots rash on their trunk."
VIG-070,typhoid,"A young girl is brought in with extreme tiredness and a persistent fever. She has a rose spots rash on her trunk, abdominal pain, and severe constipation."
VIG-071,dengue,"A 28-year-old man was hit by a sudden 40C fever this morning. He says his joints hurt so much it feels like his bones are breaking. His eyes are throbbing with retro-orbital pain."
VIG-072,dengue,"Patient is crying from severe bone and joint pain. The fever spiked suddenly to 40C. She also complains of an intense ache behind her eyes. She mentioned she has a mild rash on her leg from a bug bite."
VIG-073,dengue,"The teenager presents with retro-orbital pain and a sudden high fever of 40C. He is struggling to move due to excruciating bone and joint pain."
VIG-074,dengue,"Complaints of a sudden high fever 40C and severe bone and joint pain. The patient is rubbing their eyes constantly due to retro-orbital pain. They are highly distressed."
VIG-075,dengue,"A woman is brought in with severe bone and joint pain and retro-orbital pain. She developed a sudden high fever 40C very rapidly. She also complains of a slight headache."
VIG-076,dengue,"Patient reports a sudden high fever 40C and severe retro-orbital pain. They are experiencing intense bone and joint pain, describing it as 'breakbone fever'. They are annoyed by the bright lights in the clinic."
VIG-077,dengue,"The man has a sudden high fever 40C and severe bone and joint pain. He complains of retro-orbital pain whenever he moves his eyes. He is visibly sweating."
VIG-078,dengue,"Patient is presenting with retro-orbital pain and a sudden high fever 40C. They are in agony due to severe bone and joint pain. They also have a minor scratch on their arm."
VIG-079,dengue,"Complaints of a sudden high fever 40C, severe bone and joint pain, and retro-orbital pain. The patient looks incredibly flushed and is struggling to sit still."
VIG-080,dengue,"A young boy presents with severe bone and joint pain. His mother says he developed a sudden high fever 40C earlier today. He also complains of retro-orbital pain."
VIG-081,dengue,"Patient reports a sudden high fever 40C and severe retro-orbital pain. They have excruciating bone and joint pain. They also mentioned they feel slightly nauseous."
VIG-082,dengue,"The patient has severe bone and joint pain and retro-orbital pain. They developed a sudden high fever 40C this morning. They are complaining about the uncomfortable bed."
VIG-083,dengue,"Complaints of a sudden high fever 40C and retro-orbital pain. The patient is experiencing severe bone and joint pain, making it hard for them to walk."
VIG-084,dengue,"Patient presents with retro-orbital pain, a sudden high fever 40C, and severe bone and joint pain. They look extremely unwell and distressed."
VIG-085,dengue,"A 45-year-old woman reports a sudden high fever 40C and severe bone and joint pain. She also has intense retro-orbital pain and a slight sore throat."
VIG-086,lassa_fever,"The patient has a low-grade slight fever, but her neck and face are massively swollen. I noticed blood weeping from her gums, and she claims she suddenly cannot hear out of her right ear."
VIG-087,lassa_fever,"A 50-year-old man presents with general weakness and a slight fever. He is struggling with difficulty breathing and chest pain. Blood is visible around his nose and eyes."
VIG-088,lassa_fever,"Patient reports sudden deafness and a slight fever. They have massive facial and neck swelling, and mucosal bleeding from the gums. They also complained about the cold weather."
VIG-089,lassa_fever,"The young woman is experiencing severe chest pain and difficulty breathing. She has a slight fever and noticeable facial and neck swelling. She looks extremely weak."
VIG-090,lassa_fever,"Complaints of a slight fever and general weakness. The patient has mucosal bleeding from the eyes and gums, and sudden deafness. They are deteriorating rapidly."
VIG-091,lassa_fever,"A man is brought in with facial and neck swelling and a slight fever. He has difficulty breathing and chest pain. He also mentioned he has a dull ache in his lower back."
VIG-092,lassa_fever,"Patient reports sudden deafness or hearing loss and a slight fever. They have mucosal bleeding from the eyes and gums, and general weakness. They are visibly lethargic."
VIG-093,lassa_fever,"The patient has a slight fever, chest pain, and difficulty breathing. They have severe facial and neck swelling and mucosal bleeding. They are complaining about a dry mouth."
VIG-094,lassa_fever,"Complaints of general weakness, a slight fever, and sudden deafness. The patient has massive facial and neck swelling and mucosal bleeding from the gums."
VIG-095,lassa_fever,"A teenage girl presents with a slight fever and difficulty breathing. She has chest pain, facial and neck swelling, and looks extremely pale and weak."
VIG-096,lassa_fever,"Patient is experiencing mucosal bleeding from the eyes and gums, a slight fever, and sudden deafness. They have general weakness. They also have a minor rash from an old allergy."
VIG-097,lassa_fever,"The man has a slight fever, facial and neck swelling, and chest pain. He is experiencing difficulty breathing and general weakness. He is highly distressed."
VIG-098,lassa_fever,"Patient reports a slight fever, sudden deafness or hearing loss, and mucosal bleeding from the eyes and gums. They have massive facial and neck swelling."
VIG-099,lassa_fever,"Complaints of chest pain, difficulty breathing, and a slight fever. The patient has general weakness and mucosal bleeding from the gums. They also complain of a mild headache."
VIG-100,lassa_fever,"A woman is brought in with a slight fever, sudden deafness, and severe facial and neck swelling. She has mucosal bleeding from the eyes and gums, and general weakness."
VIG-101,inconclusive,"Patient reports a mild sore throat, a runny nose, and a slight cough. No fever is present. They feel a bit tired."
VIG-102,inconclusive,"A 30-year-old ate questionable street meat and now has severe watery diarrhoea and vomiting. No fever, just severe dehydration."
VIG-103,inconclusive,"Patient has a persistent dry cough and lost their sense of taste and smell yesterday. They have a mild temperature but no joint pain."
VIG-104,inconclusive,"A pregnant woman is experiencing morning sickness and lower back pain. No fever or chills."
VIG-105,inconclusive,"Patient was bitten by a stray dog and is now terrified of water, experiencing muscle spasms. High fever present."
VIG-106,inconclusive,"A child fell out of a tree and has a visibly broken arm. They are crying in pain and their forehead feels slightly warm."
VIG-107,inconclusive,"Patient has a severe migraine localized to the left side of their head with aura. Light sensitivity is extreme. No fever."
VIG-108,inconclusive,"A 60-year-old man reports crushing chest pain radiating to his left arm and shortness of breath. No fever or rash."
VIG-109,inconclusive,"Patient complains of itchy, watery eyes and sneezing after walking through a field of pollen. No other symptoms."
VIG-110,inconclusive,"Patient has a highly contagious itchy rash forming blisters all over their body, characteristic of chickenpox. Mild fever."
VIG-111,inconclusive,"A teenager has severe acne and is requesting a dermatology referral. Completely healthy otherwise."
VIG-112,inconclusive,"Patient is experiencing sudden, severe pain in their lower right abdomen, indicating possible appendicitis. Nausea is present."
VIG-113,inconclusive,"An elderly patient presents with confusion and a urinary tract infection. Low-grade fever."
VIG-114,inconclusive,"Patient reports feeling incredibly sad, lethargic, and has no appetite. No physical pain or fever."
VIG-115,inconclusive,"A marathon runner collapsed from heat exhaustion. Their body temperature is elevated, but they are not sweating. No chills."
VIG-116,inconclusive,"Patient has a stiff neck, sudden high fever, and extreme sensitivity to light, indicative of meningitis."
VIG-117,inconclusive,"A diabetic patient presents with a dangerously low blood sugar level. They are sweating, trembling, and pale."
VIG-118,inconclusive,"Patient reports a strange tingling in their hands and feet, progressing to weakness. No recent fevers."
VIG-119,inconclusive,"A woman complains of painful urination and pelvic pressure. No rash or systemic fever."
VIG-120,inconclusive,"Patient presents with a sprained ankle that is swollen and bruised. No signs of systemic infection."